d2f	d2r	d2sett_cap	occurrence
0	1044.03064	6774.21582	1
0	3466.987061	5001	0
0	3820.994629	6307.138672	1
0	3448.187988	5142.956543	1
0	2842.53418	6726.812012	1
0	2865.309814	3820.994629	1
0	2247.220459	5854.912598	1
608.2762451	141.4213562	200	0
0	3206.243896	5780.138184	0
0	1923.538452	1513.274536	1
0	223.6067963	632.4555054	0
0	2433.10498	4686.149902	1
0	3962.32251	5913.543945	1
0	1200	4657.252441	0
100	5360.037109	5950.630371	0
0	2202.271484	6400	1
0	1664.331665	1562.049927	1
0	3440.930176	9227.561523	0
0	632.4555054	900	0
0	2968.164307	5608.029785	1
0	3736.30835	5467.174805	1
